Index	Time	Speaker	Speech Segment	Open code(s)	Axial code(s)
235	"00:27:41"	"Speaker 3"	"Yeah, that's part of. Feel like?"	""	""
236	"00:27:42"	"Speaker 1"	"It yeah. No part of kitchen."	""	""
237	"00:27:43"	"Speaker 3"	"The kitchen is."	""	""
238	"00:27:43"	"Speaker 4"	"Very brokering. Yeah, kitchen is."	""	""
239	"00:27:45"	"Speaker 3"	"Yeah, exactly like that includes like fridge, the stove, the cabinet, all the food you know like."	""	""
240	"00:27:53"	"Speaker 1"	"We could make it so that like it's not fully automated, but it's like one step easy user experience kind of thing. We could make it so the hypothetical user experience would be the like the person set up the tags which would be a little bit of work. But like in in in our kitchen there is a tag for the stove, there’s a tag for the dishwasher, and then let's say the dishwasher is full, but hasn't been. What do you call it? Like run."	"Explanation of an idea"	"Project"
241	"00:28:35"	"Speaker 3"	"OK."	""	""
242	"00:28:38"	"Speaker 1"	"If you know that you weren't assigned but you don't know who was actually supposed to take it out, you can just tap your phone on it and then the sent the text will automatically be sent to whoever was actually supposed to throw it out to load the dishwasher. But that like that part's under the hood. So like all I did was tap my phone, but under the hood it's already figuring out who was actually supposed to take it out. Let's send a text just to that person."	"Explanation of an idea"	"Project"
243	"00:29:07"	"Speaker 2"	"OK. OK, you."	""	""
244	"00:29:08"	"Speaker 4"	"Got sure."	""	""
245	"00:29:08"	"Speaker 3"	"So just accountability in that sense, yes."	""	""
246	"00:29:10"	"Speaker 2"	"OK, so this idea is, to clarify, people, do people see things as not done? The house, like unclean floors, fill trash cans, et cetera, and they tap on it to notify and whoever's responsible accountable that's there. You're right. OK. And then what if we add, like, a layer where the if the person actually does it? Is this even worth at that point? No. I'm thinking of like if if the person actually does it, then they tap on it again and like logs for that specific reason."	"Asking for idea clarification"	"Project"
247	"00:29:43"	"Speaker 1"	"Okay, I think we would have to add a lot of functionality based on like OK if it's locked, when does it turn on again? Like when is it time to do this?"	""	""
248	"00:29:57"	"Speaker 4"	"And go."	""	""
249	"00:29:59"	"Speaker 2"	"I realized that if you were able to like things where."	""	""
250	"00:30:11"	"Speaker 1"	"Here, here, here, solid."	""	""
251	"00:30:14"	"Speaker 2"	"A lot of privacy. Like when you said that."	""	""
252	"00:30:20"	"Speaker 1"	"Would you like to put this. Into the blockchain and then call it a blockchain app."	""	""
253	"00:30:25"	"Speaker 2"	"No, like for real. We could make it a hardware blockchain, which I doubt anyone will do"	"Uniqueness of project"	"Project"
254	"00:30:30"	"Speaker 1"	"A hardware blockchain."	""	""
255	"00:30:33"	"Speaker 3"	"So how would that work?"	""	""
256	"00:30:34"	"Speaker 2"	"Like so. OK, but this doesn't line up with what's just been discussed. So what is more ideal is like you want to have a system where you want to prove that everyone is doing the work they're doing. Yeah, like around the house. So it can be RFID tags. It can be even like QR codes, but like basically, is when I do something, I will go and like scan it and then it signs basically that I did this transaction and creates an NFT. Easy as that. And it can only be created by me and it can only be created one person and like nobody can like. Basically nobody can like go and do it. That's the that's it's not a really practical thing, but it's a very good angle at blockchain, is what I'm saying. So if we can add like an actual use case for this, like where it's like compelling enough. I think we have like a pretty good like which what I'm trying to think of like what is the way to like make this like oh shit, this is definitely needed like this is this will help me so much. Because just that blocking my space is not that necessary, yeah. Yeah. So I was thinking like maybe we add a camera that just detects when the person like or like something like that I don't know. Like, OK, like what if a camera detects when someone does it and then only signs it if it's the actual person that's supposed to."	"Coolness of idea, Explanation of idea"	"Project"
257	"00:31:44"	"Speaker 1"	"But how would you check if that was the actual person's face detection?"	""	""
258	"00:31:47"	"Speaker 2"	"I that would be the biggest problem, so whether it can identify humans. UM. I will actually just go to wherever the VM workshop is, ask them what we can do with that because from what I know the example app you can identify objects and images very easily. I just know how powerful that is for human beings. So yeah, that would be right decent hack. But yeah, that's just one way."	"Sponsor, Hackathon strategy"	"Hackathon features"
259	"00:32:23"	"Speaker 1"	"OK."	""	""
260	"00:32:30"	"Speaker 2"	"No, this will actually. This is actually a pretty good use case in reality because in my apartment we have one guy who does this who doesn't accountability check and sounds like you do this. You didn't do this. You do this and he's like super straightforward like to the point. So you'll trust him. Like so. This actually makes sense to me. A lot, yeah."	""	""
261	"00:32:54"	"Speaker 1"	"But there is no wow to it."	"Coolness of idea"	"Project"
262	"00:32:57"	"Speaker 2"	"Yeah, we, we have the magical tech we have the maybe the it works part, we need the."	"Hackathon strategy"	"Hackathon features"
263	"00:33:04"	"Speaker 1"	"This is this. This begs the question, I have a phone. I don't have one. As you build the. What happened? Other pocket. Sorry, because I was gonna. I lost my train of thought. Never mind, sorry."	""	""
264	"00:33:31"	"Speaker 2"	"Oh man."	""	""
265	"00:33:37"	"Speaker 1"	"You don't understand. I mean to say that as if it's like a difficult thing really is. "	""	""
266	"00:33:50"	"Speaker 2"	"So like what I’m picturing is right for every like from what I've seen, whenever you have a hackathon and it's successful, it matches like 3 circles which is like one is is like technically magical. It can seem complex, it doesn't have to be. Like when OpenAI I first came out, it was like magic, although it was just do this for me. The next thing you have to do is that make sure it works. And the third thing actually that I've seen is that you have to be able to pitch it. Are you using? Make it like why we're like the judge care about it. Yeah. So for this current idea, I can see these two. I can't see this, which is like why I'm confused right now."	"Hackathon strategy"	"Hackathon features"
267	"00:34:53"	"Speaker 1"	"What are you missing? The pitch?"	""	""
268	"00:34:55"	"Speaker 2"	"This area missing picture. Why would people do this?"	""	""
269	"00:35:01"	"Speaker 1"	"Why would people do the blockchain version of the roommate assistant?"	""	""
270	"00:35:04"	"Speaker 2"	"We have to add some functionality to make it pitchable but I feel."	""	""
271	"00:35:09"	"Speaker 1"	"I am so angry that I didn't bring it with me, but I used to have RFID tags that we could demonstrate."	""	""
272	"00:35:15"	"Speaker 2"	"I mean, I'm."	""	""
273	"00:35:16"	"Speaker 1"	"It's in the wrong backpack."	""	""
274	"00:35:17"	"Speaker 2"	"No, I'm not too worried about it because I feel like we can use QR codes very easily."	""	""
275	"00:35:22"	"Speaker 3"	"I thought of another idea. It's pretty simple, but it's just for drinking water. A lot of people. Maybe they don't drink 3 to 4 liters a day, so we could put some sort of sensor on the bottle just to measure your water intake."	"Explanation of an idea, Topic generation"	"Project, Design process"
276	"00:35:41"	"Speaker 3"	"Whether water depletes down beam tells you. Drink water and then something. This is an idea or?"	""	""
277	"00:35:52"	"Speaker 2"	"Do that except the first question is like, what if I don't drink my bottle, I drink 1 cup? It's like it's a it's not a technical question. It's like, a usability question."	""	""
278	"00:36:06"	"Speaker 4"	"I think that already exists. Like they're bottles that do that."	""	""
279	"00:36:11"	"Speaker 2"	"Yeah, but. What that means is a good idea."	""	""
280	"00:36:12"	"Speaker 4"	"Yeah, yeah, yeah."	""	""
281	"00:36:21"	"Speaker 3"	"Brainstorming is OK."	""	""
282	"00:36:27"	"Speaker 1"	"You know, technically."	""	""
283	"00:36:30"	"Speaker 3"	"Small problems for you?"	""	""
284	"00:36:38"	"Speaker 4"	"Yeah, but it's interesting like. Hackathon the problems we're trying to solve that hackathon is not the same as like a problem like you might just want to sell a product, but it's very different."	"Hackathon strategy"	"Hackathon features"
285	"00:36:49"	"Speaker 3"	"Like it doesn't need to be a problem as well, it could quite literally just be something for fun, like it doesn't need to."	"Team goal to have fun"	"Team goal"
286	"00:36:50"	"Speaker 1"	"Right."	""	""
287	"00:36:53"	"Speaker 4"	"Yeah, it could. Yeah, it."	""	""
288	"00:36:55"	"Speaker 2"	"It it definitely could, this is for winning"	"Team goal to win"	"Team goal"
289	"00:36:56"	"Speaker 1"	"Yeah. Oh."	""	""
290	"00:36:56"	"Speaker 2"	"A winning. Yeah, like, yeah, this is not for like hackathon and that's whatever you want"	""	""
291	"00:37:01"	"Speaker 3"	"Yeah, OK, that's fine."	""	""
292	"00:37:04"	"Speaker 1"	"If we're doing it for fun, I was thinking, you know, the Tom and Jerry traps were like, it's so complicated and all it does is just, like, drop a cheese or whatever. There’s a word for. It like some kind of machinations but machine machine but basically but you get the idea of the like super complicated. Yeah, exactly that but an alarm sort of wake you up."	"Team goal to have fun, Topic generation"	"Team goal, Design process"
293	"00:37:23"	"Speaker 3"	"Yeah. And then it just does like."	""	""
294	"00:37:30"	"Speaker 1"	"But a bunch of different cogs and wheels to eventually just like I don’t know, slap you in the face. That's robotics. That's one degree of freedom it goes."	""	""
295	"00:37:44"	"Speaker 4"	"Yeah, yeah, yeah. I mean, we can start from like big topics of like what we're interested in and then branch off of that. And then like like we could just write some big topics on there and then. OK, see."	"Facilitation"	"Team process"
296	"00:38:22"	"Speaker 3"	"Well, what I what I know? And what I know is making games that hardware. That's what I know."	"Self-identification of knowledge and skills"	"Self-awareness"
297	"00:38:31"	"Speaker 4"	"OK, there you go."	""	""
298	"00:38:36"	"Speaker 3"	"Like games, games and hardware? Yeah."	""	""
299	"00:38:38"	"Speaker 1"	"What else?"	""	""
300	"00:38:47"	"Speaker 3"	"Processing, PJIS, that sort of stuff."	"Self-identification of knowledge and skills"	"Self-awareness"
301	"00:38:52"	"Speaker 1"	"Anyone else?"	""	""
302	"00:38:53"	"Speaker 3"	"Yeah, I mean, if anyone has no, no stuff, throw away. That's really the stuff I know."	""	""
303	"00:38:58"	"Speaker 4"	"Yeah, you could put down robotics, 3D Printing stuff and then mechanical like mechanisms and stuff. If you want to do and computer vision but like that's pretty specific though."	"Self-identification of knowledge and skills"	"Self-awareness"
304	"00:39:19"	"Speaker 1"	"I'll add here Web, mobile. I don't have like big topics that I'm particularly drawn to. I'm just like a Swiss knife anywhere. Yeah."	"Self-identification of knowledge and skills"	"Self-awareness"
305	"00:39:35"	"Speaker 2"	"Mine's web, mobile blockchain, blockchain."	"Self-identification of knowledge and skills"	"Self-awareness"
306	"00:39:39"	"Speaker 3"	"I feel like we had pretty much everything"	""	""
307	"00:39:42"	"Speaker 4"	"Feels kind of, which makes it harder."	"Alignment of project and team goal, Scoping team goal"	"Alignment of goals, Team goal"
308	"00:39:44"	"Speaker 2"	"Yeah, literally, consensus is hard."	""	""
309	"00:39:54"	"Speaker 4"	"OK, let's draw some lines. How can we connect them?"	""	""
310	"00:39:58"	"Speaker 1"	"Hardware robotics, 3D printing and mech are all related."	""	""
311	"00:39:59"	"Speaker 3"	"And games. Like physical stuff."	""	""
312	"00:40:05"	"Speaker 4"	"Yeah, they're kind of really. Yeah."	""	""
313	"00:40:07"	"Speaker 1"	"Games processing, compasses, blockchain are all related. And these are just mediums."	""	""
314	"00:40:16"	"Speaker 3"	"Say that's pretty solid."	""	""
315	"00:40:18"	"Speaker 2"	"It's a lot of lines though."	""	""
316	"00:40:21"	"Speaker 3"	"This up, down and."	""	""
317	"00:40:23"	"Speaker 1"	"Oh wait, I kind of forgot. Yeah. No, I can't read. It. Thank you. Treating this like a notebook is just like angles everywhere."	""	""
318	"00:40:36"	"Speaker 3"	"How long are you guys going to be up for?"	"Time commitment"	"Team process"
319	"00:40:42"	"Speaker 4"	"Until 3 or 4. OK, that's realistic."	"Time commitment"	"Team process"
320	"00:40:44"	"Speaker 2"	"It depends on our like progress."	"Time commitment, Team goal"	"Team process, Team goal"
321	"00:40:46"	"Speaker 4"	"Yeah, yeah. I think we should at least have the idea before."	"Planning"	"Team process"
322	"00:40:50"	"Speaker 3"	"Yeah, like start coding and like do a little bit like soon. I want to attend a workshop, like soon"	"Planning, Individual goal to learn"	"Team process"
323	"00:40:51"	"Speaker 2"	"That's that's fair."	""	""
324	"00:40:52"	"Speaker 4"	"OK"	""	""
325	"00:40:54"	"Speaker 3"	"Oh, OK. But I also obviously want to contribute."	"Individual contribution to team goal"	"Team goal"
326	"00:40:59"	"Speaker 4"	"This when's the workshop 11?"	""	""
327	"00:41:01"	"Speaker 3"	"Its at 11:30"	""	""
328	"00:41:02"	"Speaker 1"	"Which one?"	""	""
329	"00:41:04"	"Speaker 3"	"Just intro the machine learning."	""	""
330	"00:41:06"	"Speaker 3"	"Cool. Nice. OK."	""	""
331	"00:41:11"	"Speaker 2"	"Can we fast track this in any way?"	"Concern for timing, Design process"	"Hackathon features, Team process"
332	"00:41:15"	"Speaker 3"	"OK"	""	""
333	"00:41:17"	"Speaker 1"	"OK. We don't care about."	""	""
334	"00:41:26"	"Speaker 4"	"I mean, I heard a really good idea. I don't know if this is going to inspire it. I mean, they're doing it so. I don't think we should do it, but they're like doing building blocks for AI so you know how you build an AI model, but then they're doing like they're there is a just language called like scratch or something where it's just basically, yeah, like build code being like blocks but doing. But they're doing that for like an AI model. So like, you build that in blocks. Which I think they're going to win."	"Uniqueness of project"	"Project"
335	"00:41:56"	"Speaker 1"	"That's a start up."	""	""
336	"00:41:58"	"Speaker 2"	"Just kind of, yeah."	""	""
337	"00:41:58"	"Speaker 1"	"That's not a hackathon project. That's a start up."	""	""
338	"00:42:00"	"Speaker 3"	"That's really."	""	""
339	"00:42:01"	"Speaker 4"	"I don't exist, but it's interesting, yeah."	""	""
340	"00:42:06"	"Speaker 2"	"It's very interesting."	""	""
341	"00:42:06"	"Speaker 1"	"It does exist in like seed stage because people haven't like mastered it yet. There's a policy for it."	""	""
342	"00:42:39"	"Speaker 4"	"Yeah, I can talk about projects that I want to do, but are aren't realistic for hackathon and that could inspire stuff. For example, I want to do."	"Inspiration, Scoping"	"Project, Design process"
343	"00:42:46"	"Speaker 1"	"Go, go."	""	""
344	"00:42:50"	"Speaker 4"	"Slicing for five axis, slicing for a like 5 axis 3D printer. So you know how in regular 3D printing we have 3 axes, so XY and Z. Yeah, but in a 5 axis, your print head is able to move like like in orientations. So like pitch and yeah so it rotates and what it's able to do is for example, it's able to do so like I want to print a curve."	"Explanation of an idea"	"Project"
345	"00:43:09"	"Speaker 3"	"So it rotates."	""	""
346	"00:43:17"	"Speaker 4"	"What it's able to do is print this way rather than printing like this and moving in the curve. So 5 axis slicing. That's cool is like something that's like not very developed, and they're all pretty crappy. So something like that can be improved, and something else I want want to build outside of hackathon, that inspiration, nonetheless, is like a gym for like training robots. And like, I mean, I just want to do it so I. And see how to build it. But basically you know how, like in reinforcement learning like you have to have an environment that kind of simulates the real world and so that's what the gym is basically. And then building that building 1 from ground up would be cool. Just ideas, throwing them out there."	"Explanation of an idea"	"Project"
347	"00:44:14"	"Speaker 1"	"OK."	""	""
348	"00:44:21"	"Speaker 4"	"What else is there?"	"Facilitation"	"Team process"
349	"00:44:27"	"Speaker 3"	"You guys, do you think it's OK if I go for the workshop? I'll be back in an hour, but do. You think is it already?"	"Workshop, Individual goal to learn"	"Hackathon features, Individual goal"
350	"00:44:32"	"Speaker 4"	"Past that time."	""	""
351	"00:44:33"	"Speaker 3"	"It is OK. And I'm hoping I can make it."	""	""
352	"00:44:36"	"Speaker 4"	"I think it's fine. You can probably come up with something and then."	""	""
353	"00:44:41"	"Speaker 3"	"Do you want? I I. It's OK. I can also stay like its no issue."	"Individual contribution to team goal"	"Team goal"
354	"00:44:45"	"Speaker 2"	"I mean, I I don't know."	""	""
355	"00:44:46"	"Speaker 1"	"OK, how attached are you to the idea? Like if you're like, if the three of us can keep brainstorming and then you catch up once you come back from your workshop. Because I think before, before we split up for the night, or, like, do whatever we want to do,"	"Alignment of individual goal with team goal, Planning"	"Alignment of goals, Team process"
356	"00:45:02"	"Speaker 3"	"Should have this have the idea"	""	""
357	"00:45:02"	"Speaker 1"	"we should"	""	""
358	"00:45:03"	"Speaker 3"	"No, that's that's important for sure. OK."	""	""
359	"00:45:08"	"Speaker 1"	"Yeah. And then I'll be like all through the title. "	""	""
360	"00:45:10"	"Speaker 3"	"I'm I'm I'm really open. I'm fine with it. I'm flexible."	"Relinquish control of project"	"Self-awareness"
361	"00:45:16"	"Speaker 1"	"Go learning your machine learning."	""	""
362	"00:45:18"	"Speaker 4"	"Learn like the machine. Probably go halfway through, right?"	""	""
363	"00:45:26"	"Speaker 3"	"Like 10 minutes through. So, OK, alright, cool. But just keep me up."	""	""
364	"00:45:29"	"Speaker 1"	"Go now. So you don't mind instruction."	""	""
365	"00:45:32"	"Speaker 3"	"Keep me updated in case you guys need. Anything. OK. Yeah."	"Member leaves"	"Team dynamics"
366	"00:45:42"	"Speaker 1"	"Let's see. My confusing. Ohh I'm, I'm here I'm not. I'm not OK so my confusion is."	""	""
367	"00:45:52"	"Speaker 4"	"Well, maybe I'm color blind. Oh oh. Might have hit that by accident, sorry."	""	""
368	"00:46:01"	"Speaker 1"	"Like the ones on the bottom hardware robotics, 3D printing and mech are very physical and then games, computer vision processing and blockchain are the software side and I think a consensus could be made if we find a way to do something that's both hardware and software."	"Hackathon strategy, Scoping team goal"	"Hackathon features, Team goal"
369	"00:46:21"	"Speaker 4"	"Of course, yeah."	""	""
370	"00:46:21"	"Speaker 1"	"But you need. You need tougher anyway, your hardware."	""	""
371	"00:46:23"	"Speaker 4"	"Well, yeah, you do. Yeah. So there's no avoiding any. But you can do software without hardware, right? So."	""	""
372	"00:46:31"	"Speaker 2"	"That's how I get my degree."	""	""
373	"00:46:32"	"Speaker 1"	"That's not as wow."	"Coolness of idea"	"Project"
374	"00:46:35"	"Speaker 4"	"No it wouldn't."	""	""
375	"00:46:37"	"Speaker 1"	"Like what the fuck?"	""	""
376	"00:46:41"	"Speaker 4"	"I think my biggest concern is like if we do hardware like, are we going to be able to get the resources to do it? Because I feel like it’s going to be pretty competitive. Everybody's going to be fighting for the 3D printers, so you know, like if we design something in CAD like will we actually get to build it like that's a tough question, right?"	"Concern for resources, Completeness of project"	"Hackathon features, Project"
377	"00:47:04"	"Speaker 1"	"My expectation was more like you're you're our main hardware like the most hardware person out of all of us and they didn't want you to not have what you like doing in the project."	"Alignment of individual goal with team goal"	"Alignment of goals"
378	"00:47:14"	"Speaker 4"	"Yeah, yeah, yeah. Yeah. I mean, I'm OK with doing software like if because limitations, right? So."	"Individual contribution to team goal"	"Team goal"
379	"00:47:23"	"Speaker 1"	"So what kind of software then would we want to build because I I limited mine?"	""	""
380	"00:47:27"	"Speaker 4"	"I'm OK with like I'm OK with anything I've done mobile. No, actually I have not done any actual mobile projects, but I've done like web and then. That web, but outside of that I've done a lot of other projects not for Hackathon, so yeah. Look, I'm OK with building anything, really. Like it's about learning, not using skills you've used before, so right."	""	""
381	"00:47:56"	"Speaker 1"	"So that that that removes one of our hurdles. We don't have to have hardware."	""	""
382	"00:48:01"	"Speaker 4"	"Yeah. You don't. Yeah, we don't. Yeah."	""	""
383	"00:48:04"	"Speaker 2"	"And just dress software and it's like a."	""	""
384	"00:48:06"	"Speaker 3"	"World and then the."	""	""
385	"00:48:08"	"Speaker 1"	"Now it's just like huge rabbit hole. Where do we go now?"	""	""
386	"00:48:11"	"Speaker 2"	"Yeah. Because like, yeah, our ideas were based on hardware so far."	""	""
387	"00:48:16"	"Speaker 4"	"I mean, we could limit ourselves to hardware if that makes it easier for brainstorm, like right? Like."	"Facilitation, Scoping"	"Team process, Design process"
388	"00:48:25"	"Speaker 1"	"Something that I haven't described yet. Do you guys know, have have you played Zelda before? And I know you haven't, but actually I think I can show you I brought my switch. But it's like I I did part of this project that I envisioned before, but I couldn't pull it off as well as I wanted to. So the Shika slate is the map and other tools, whatever of the last two Zelda games. One of one part that I really liked about it was wherever you've been, it keeps track of as well as how you got there. So the route or the path it like draws the path the way that I wanted to do that for us is our Google Maps history and just mapping our Google Maps history and how like we go about our day and recreating that and like so that's there's the map there's you would. Like take a picture of the universe with the Shika slate, so that would be like computer vision. If we want to make one project that everyone has their own part of. But yeah."	"Explanation of an idea, Alignment of team goal with individual goal, Individual contribution to team goal"	"Project, Alignment of goals"
389	"00:48:30"	"Speaker 4"	"Interesting"	"Validation of idea"	"Project"
390	"00:49:50"	"Speaker 2"	"Where I don't think I fully understand what that is."	""	""
391	"00:49:56"	"Speaker 2"	"So like."	""	""
392	"00:49:57"	"Speaker 1"	"Actually, let me show you. Because switches need Wi-Fi."	""	""
393	"00:50:10"	"Speaker 4"	"Is it just like a map with the like the path on it or something? OK."	""	""
394	"00:50:14"	"Speaker 1"	"Like at the most minimum, right? We said devpost, that's what I'm looking for."	""	""
395	"00:50:30"	"Speaker 2"	"You know they have snacks anywhere?"	""	""
396	"00:50:31"	"Speaker 4"	"I think they have snacks like right there. Look on the table look outside. Yeah, get some OK. Those are tripping hazards, I'm telling you. Thank you for so many outlets, but they're just kind of dangerous."	""	""
397	"00:50:53"	"Speaker 1"	"I know the other places had like little humps over these so you don't trip over them. Wait."	""	""
398	"00:50:59"	"Speaker 4"	"Little humps, wouldn't that? Like they're kind of low, like really low profile, right? Yeah. Yeah, yeah."	""	""
399	"00:51:03"	"Speaker 1"	"Like like speed bumps. So there's no tripping on, yeah. The whole wrestling."	""	""
400	"00:51:15"	"Speaker 4"	"Like I really like things that are modular. I'm trying to think if we can come up with something that's related to hardware or something or software that's like modular and you can."	""	""
401	"00:51:47"	"Speaker 1"	"How can we?"	""	""
402	"00:51:55"	"Speaker 4"	"Computer vision. What are problems? Trying to think of problems. Did you find them? yeah, there's there I saw a desk with like, full of snacks. Maybe it's gone, I don't know."	""	""
403	"00:52:22"	"Speaker 1"	"I have an idea, but it's dependent on how good the camera will be. You know color theory?"	"Concern for resources"	"Hackathon features"
404	"00:52:27"	"Speaker 4"	"OK."	""	""
405	"00:52:32"	"Speaker 1"	"And one application of that is, you know how this same left hand grey shirt looks different on different people with different skin tones. Like I was just thinking of computer vision applications and that's one way that we could do it. So like."	"Explanation of an idea, Chosen idea"	"Project"
406	"00:52:51"	"Speaker 1"	"I don't know."	""	""
407	"00:52:52"	"Speaker 4"	"Like color"	""	""
408	"00:52:57"	"Speaker 1"	"Like a color counseling thing, where like these colors suit you!"	""	""
409	"00:53:01"	"Speaker 4"	"Oh, that's cool, actually. I like that, OK. That's cool. Yeah, because I remember there was this thing where it's like. It's like in Korea or something. And then like you go and then like you have like a thing and yeah, yeah, yeah, yeah."	"Validation of idea"	"Project"
410	"00:53:12"	"Speaker 1"	"That's exactly what I was envisioning."	""	""
411	"00:53:13"	"Speaker 4"	"Yeah, yeah. OK. Actually, I like that. That's interesting color theory. So I feel like there's a certain, like there's a challenge to that too from the software side. But it's it would be interesting to try to replicate that sort of effect of like, you know, having that the the like the templates there and then like it you know projects onto your face somehow and then like creates that effect and see what you look like with that, you know, wearing that that item."	"Interest in how difficult the problem is"	"Project"
412	"00:53:51"	"Speaker 1"	"I know that that exists because I know they do that for nail polish. OK. Like it's AR and they they they map the."	"Analogy"	"Project"
413	"00:53:59"	"Speaker 4"	"Yeah, they project it onto your fingers. Yeah, yeah."	""	""
414	"00:54:01"	"Speaker 1"	"So a similar project would be project onto your shirt. What would you look like with this color sweater? Would it clash with your skin tone? What about your undertones? All that fun stuff."	""	""
415	"00:54:13"	"Speaker 4"	"Yeah. Yeah, I think that's very interesting. The CV [computer vision] part of that is interesting too, because like you have to understand, sort of physics to do that kind of reflection."	"Validation of idea"	"Project"
416	"00:54:29"	"Speaker 2"	"Is it? Is it or is that straightforward like applying color theory?"	"Difficulty or challenge of idea"	"Project"
417	"00:54:32"	"Speaker 2"	"And what is it? If it was like?"	""	""
418	"00:54:34"	"Speaker 2"	"I have no idea."	""	""
419	"00:54:36"	"Speaker 4"	"It's just like what color suits you the best when you're wearing a shirt, for example, and then?"	""	""
420	"00:54:42"	"Speaker 2"	"How do we know what is good?"	""	""
421	"00:54:44"	"Speaker 4"	"I don't think we determine it, but it's rather they get a choice of, say, seeing themselves in, you know. Whatever."	""	""
422	"00:54:48"	"Speaker 2"	"Oh yeah yeah"	""	""
423	"00:54:51"	"Speaker 1"	"It's based on color theory, but like the the the part that we're implementing would just be the AR."	""	""
424	"00:55:01"	"Speaker 4"	"Yeah, honestly, we can't. We can even do that in like web and then do it as like a Chrome plugin if we can do it simple enough. Like I don't know about the AR part, that might be tough, but if we just work with like an image of yourself or something."	"Challenge of the problem"	"Project"
425	"00:55:19"	"Speaker 1"	"Ohh as in like put it on the screen instead of putting it on the world."	""	""
426	"00:55:23"	"Speaker 2"	"You just create a profile of yourself"	""	""
427	"00:55:23"	"Speaker 4"	"Yeah. And you could even do like side profiles or something and then that because we're only dealing then with like 3 images, it makes it a lot easier compared to like a whole trying to do like virtual reality AR problem, right?"	""	""
428	"00:55:39"	"Speaker 1"	"OK."	""	""
429	"00:55:40"	"Speaker 4"	"That could be interesting."	""	""
430	"00:55:43"	"Speaker 1"	"How is that different from editing?"	""	""
431	"00:55:50"	"Speaker 4"	"As I remember to turn this."	""	""
432	"00:55:52"	"Speaker 1"	"OK, I got the hang of being a reality star."	""	""
433	"00:55:58"	"Speaker 4"	"It's like the office, yeah."	""	""
434	"00:56:11"	"Speaker 4"	"Yeah. The only thing we're missing is the camera angle, the camera, the camera shots."	""	""
435	"00:56:17"	"Speaker 2"	"So this the."	""	""
436	"00:56:18"	"Speaker 1"	"We can borrow, but even if even if we can't, if even."	"Concern for resources"	"Hackathon features"
437	"00:56:22"	"Speaker 4"	"Ohh I have a camera."	""	""
438	"00:56:22"	"Speaker 1"	"If they don't give. Us ohh it better."	""	""
439	"00:56:24"	"Speaker 4"	"I bought one just in case, just in case the hardware run out like WOW prepared."	""	""
440	"00:56:26"	"Speaker 2"	"Oh wow. Damn. OK, so this. To reiterate again, this idea is getting people to try on different colors of clothes they want to get, and then see what's the best color fit for them? So like for an."	"Asking for idea clarification"	"Project"
441	"00:56:45"	"Speaker 1"	"OK, wait. To clarify, because there's the AR, or like mapping it onto the person idea that we have, and there's the answering what color suits you."	"Clarification of idea"	"Project"
442	"00:56:57"	"Speaker 4"	"OK, sure."	""	""
443	"00:56:58"	"Speaker 1"	"Like those are different levels."	""	""
444	"00:57:01"	"Speaker 4"	"Yeah, I think they're. I mean, they're two. Yeah. Yeah, yeah, yeah. They're two different. They're kind of different, right? Yeah. Yeah."	""	""
445	"00:57:10"	"Speaker 2"	"They're quite different, actually"	""	""
446	"00:57:15"	"Speaker 4"	"Well, one one thing is like, you have to project the clothes. And then the second part is what color looks good. So the two separate problems on its own, but the one requires the other."	""	""
447	"00:57:22"	"Speaker 2"	"Yeah, both are not that easy though, yeah."	"Difficulty or challenge of idea"	"Project"
448	"00:57:23"	"Speaker 1"	"The second one needs the first. So are we good with just mapping it on to then?"	"Scoping"	"Design process"
449	"00:57:29"	"Speaker 4"	"Yeah, I mean, how hard would that one be though?"	""	""
450	"00:57:31"	"Speaker 2"	"Like mapping it onto somebody? Yeah, I don’t know."	""	""
451	"00:57:34"	"Speaker 1"	"Not mapping it onto somebody. Mapping it onto an image. We're not it, it’s not exactly AR so. Yeah, yeah, yeah."	""	""
452	"00:57:39"	"Speaker 4"	"That just mapping it onto an image like even side profile but you're able."	""	""
453	"00:57:43"	"Speaker 2"	"Okay do you guys know any tools to do that?"	""	""
454	"00:57:47"	"Speaker 4"	"I assume you have to use some sort of ML to learn what part of that image is clothes versus head or something, right?"	""	""
455	"00:57:56"	"Speaker 2"	"Yeah, exactly. You do need fair bit of like engineering understanding to build that product in the 1st place. I don't know if it's already built it seemed it, I feel like it."	""	""
456	"00:58:06"	"Speaker 4"	"It's probably there's probably things out."	""	""
457	"00:58:08"	"Speaker 2"	"There. Yeah. So if we can find that then, great. Then the problem becomes understanding what color fits in the best. But OK, I have. OK, so technically I'm OK. I have like usability questions like how how are we like theoretically, how are we going to be able to like predict what they like when there's like in my mind, there's so many factors like mood, timing, event, something gonna happen in my life, etcetera? You know?"	"Feasibility of idea, Apprehension"	"Project, Self-awareness"
